path_length,distractors_per_path_node,seed,success,first_passage_step,peak_goal_activation,final_goal_rank
2,0,0,1,8,1.0144557318,2
2,0,1,1,8,1.0144557318,2
2,0,2,1,8,1.0144557318,2
2,0,3,1,8,1.0144557318,2
2,0,4,1,8,1.0144557318,2
2,0,5,1,8,1.0144557318,2
2,0,6,1,8,1.0144557318,2
2,0,7,1,8,1.0144557318,2
2,0,8,1,8,1.0144557318,2
2,0,9,1,8,1.0144557318,2
2,0,10,1,8,1.0144557318,2
2,0,11,1,8,1.0144557318,2
2,0,12,1,8,1.0144557318,2
2,0,13,1,8,1.0144557318,2
2,0,14,1,8,1.0144557318,2
2,0,15,1,8,1.0144557318,2
2,0,16,1,8,1.0144557318,2
2,0,17,1,8,1.0144557318,2
2,0,18,1,8,1.0144557318,2
2,0,19,1,8,1.0144557318,2
2,1,0,1,11,0.5137016375,3
2,1,1,1,10,0.5877319403,2
2,1,2,1,11,0.4893711440,3
2,1,3,1,10,0.6008447500,2
2,1,4,1,10,0.6431092580,2
2,1,5,1,11,0.5384451819,3
2,1,6,1,11,0.5143198137,3
2,1,7,1,10,0.6262045351,2
2,1,8,1,10,0.5668134751,2
2,1,9,1,10,0.5874900784,3
2,1,10,1,10,0.5695472480,3
2,1,11,1,10,0.5727137486,3
2,1,12,1,10,0.5619832838,3
2,1,13,1,10,0.5858146808,2
2,1,14,1,10,0.6038693353,2
2,1,15,1,11,0.5595896089,3
2,1,16,1,10,0.5907193838,3
2,1,17,1,11,0.5446744531,3
2,1,18,1,10,0.5977889966,2
2,1,19,1,11,0.5292718969,3
2,3,0,1,15,0.2517627398,5
2,3,1,1,15,0.2609145567,5
2,3,2,1,16,0.2422795665,5
2,3,3,1,14,0.2811185082,5
2,3,4,1,14,0.3201292294,5
2,3,5,1,17,0.2159763706,5
2,3,6,1,15,0.2554536234,5
2,3,7,1,14,0.2914468254,5
2,3,8,1,14,0.2817718565,5
2,3,9,1,14,0.2861659508,5
2,3,10,1,15,0.2509221390,5
2,3,11,1,16,0.2453186152,5
2,3,12,1,15,0.2773715348,5
2,3,13,1,15,0.2634931155,5
2,3,14,1,15,0.2644589400,5
2,3,15,1,15,0.2631168364,5
2,3,16,1,15,0.2709483088,5
2,3,17,1,16,0.2294543731,5
2,3,18,1,14,0.2832880184,5
2,3,19,1,16,0.2359826013,5
4,0,0,1,45,0.1647124760,4
4,0,1,1,45,0.1647124760,4
4,0,2,1,45,0.1647124760,4
4,0,3,1,45,0.1647124760,4
4,0,4,1,45,0.1647124760,4
4,0,5,1,45,0.1647124760,4
4,0,6,1,45,0.1647124760,4
4,0,7,1,45,0.1647124760,4
4,0,8,1,45,0.1647124760,4
4,0,9,1,45,0.1647124760,4
4,0,10,1,45,0.1647124760,4
4,0,11,1,45,0.1647124760,4
4,0,12,1,45,0.1647124760,4
4,0,13,1,45,0.1647124760,4
4,0,14,1,45,0.1647124760,4
4,0,15,1,45,0.1647124760,4
4,0,16,1,45,0.1647124760,4
4,0,17,1,45,0.1647124760,4
4,0,18,1,45,0.1647124760,4
4,0,19,1,45,0.1647124760,4
4,1,0,1,83,0.0305394744,7
4,1,1,1,74,0.0410269885,7
4,1,2,1,82,0.0322438215,7
4,1,3,1,73,0.0431767704,7
4,1,4,1,65,0.0551893054,7
4,1,5,1,91,0.0249207984,7
4,1,6,1,84,0.0301646363,7
4,1,7,1,68,0.0501875491,7
4,1,8,1,76,0.0392784215,7
4,1,9,1,76,0.0402844378,7
4,1,10,1,75,0.0391860176,7
4,1,11,1,80,0.0335750542,7
4,1,12,1,76,0.0383870280,7
4,1,13,1,80,0.0350558441,7
4,1,14,1,78,0.0379910076,7
4,1,15,1,78,0.0356878274,7
4,1,16,1,73,0.0421393105,7
4,1,17,1,83,0.0309409921,7
4,1,18,1,69,0.0479597063,7
4,1,19,1,84,0.0295166123,7
4,3,0,0,,0.0000000000,16
4,3,1,0,,0.0000000000,16
4,3,2,0,,0.0000000000,16
4,3,3,0,,0.0000000000,16
4,3,4,0,,0.0000000000,16
4,3,5,0,,0.0000000000,16
4,3,6,0,,0.0000000000,16
4,3,7,0,,0.0004614968,13
4,3,8,0,,0.0000000000,16
4,3,9,0,,0.0000000000,16
4,3,10,0,,0.0000000000,16
4,3,11,0,,0.0000000000,16
4,3,12,0,,0.0000000000,16
4,3,13,0,,0.0000000000,16
4,3,14,0,,0.0000000000,16
4,3,15,0,,0.0000000000,16
4,3,16,0,,0.0000000000,16
4,3,17,0,,0.0000000000,16
4,3,18,0,,0.0000000000,16
4,3,19,0,,0.0000000000,16
6,0,0,0,,0.0000000000,6
6,0,1,0,,0.0000000000,6
6,0,2,0,,0.0000000000,6
6,0,3,0,,0.0000000000,6
6,0,4,0,,0.0000000000,6
6,0,5,0,,0.0000000000,6
6,0,6,0,,0.0000000000,6
6,0,7,0,,0.0000000000,6
6,0,8,0,,0.0000000000,6
6,0,9,0,,0.0000000000,6
6,0,10,0,,0.0000000000,6
6,0,11,0,,0.0000000000,6
6,0,12,0,,0.0000000000,6
6,0,13,0,,0.0000000000,6
6,0,14,0,,0.0000000000,6
6,0,15,0,,0.0000000000,6
6,0,16,0,,0.0000000000,6
6,0,17,0,,0.0000000000,6
6,0,18,0,,0.0000000000,6
6,0,19,0,,0.0000000000,6
6,1,0,0,,0.0000000000,12
6,1,1,0,,0.0000000000,12
6,1,2,0,,0.0000000000,12
6,1,3,0,,0.0000000000,12
6,1,4,0,,0.0000000000,12
6,1,5,0,,0.0000000000,12
6,1,6,0,,0.0000000000,12
6,1,7,0,,0.0000000000,12
6,1,8,0,,0.0000000000,12
6,1,9,0,,0.0000000000,12
6,1,10,0,,0.0000000000,12
6,1,11,0,,0.0000000000,12
6,1,12,0,,0.0000000000,12
6,1,13,0,,0.0000000000,12
6,1,14,0,,0.0000000000,12
6,1,15,0,,0.0000000000,12
6,1,16,0,,0.0000000000,12
6,1,17,0,,0.0000000000,12
6,1,18,0,,0.0000000000,12
6,1,19,0,,0.0000000000,12
6,3,0,0,,0.0000000000,24
6,3,1,0,,0.0000000000,24
6,3,2,0,,0.0000000000,24
6,3,3,0,,0.0000000000,24
6,3,4,0,,0.0000000000,24
6,3,5,0,,0.0000000000,24
6,3,6,0,,0.0000000000,24
6,3,7,0,,0.0000000000,24
6,3,8,0,,0.0000000000,24
6,3,9,0,,0.0000000000,24
6,3,10,0,,0.0000000000,24
6,3,11,0,,0.0000000000,24
6,3,12,0,,0.0000000000,24
6,3,13,0,,0.0000000000,24
6,3,14,0,,0.0000000000,24
6,3,15,0,,0.0000000000,24
6,3,16,0,,0.0000000000,24
6,3,17,0,,0.0000000000,24
6,3,18,0,,0.0000000000,24
6,3,19,0,,0.0000000000,24
8,0,0,0,,0.0000000000,8
8,0,1,0,,0.0000000000,8
8,0,2,0,,0.0000000000,8
8,0,3,0,,0.0000000000,8
8,0,4,0,,0.0000000000,8
8,0,5,0,,0.0000000000,8
8,0,6,0,,0.0000000000,8
8,0,7,0,,0.0000000000,8
8,0,8,0,,0.0000000000,8
8,0,9,0,,0.0000000000,8
8,0,10,0,,0.0000000000,8
8,0,11,0,,0.0000000000,8
8,0,12,0,,0.0000000000,8
8,0,13,0,,0.0000000000,8
8,0,14,0,,0.0000000000,8
8,0,15,0,,0.0000000000,8
8,0,16,0,,0.0000000000,8
8,0,17,0,,0.0000000000,8
8,0,18,0,,0.0000000000,8
8,0,19,0,,0.0000000000,8
8,1,0,0,,0.0000000000,16
8,1,1,0,,0.0000000000,16
8,1,2,0,,0.0000000000,16
8,1,3,0,,0.0000000000,16
8,1,4,0,,0.0000000000,16
8,1,5,0,,0.0000000000,16
8,1,6,0,,0.0000000000,16
8,1,7,0,,0.0000000000,16
8,1,8,0,,0.0000000000,16
8,1,9,0,,0.0000000000,16
8,1,10,0,,0.0000000000,16
8,1,11,0,,0.0000000000,16
8,1,12,0,,0.0000000000,16
8,1,13,0,,0.0000000000,16
8,1,14,0,,0.0000000000,16
8,1,15,0,,0.0000000000,16
8,1,16,0,,0.0000000000,16
8,1,17,0,,0.0000000000,16
8,1,18,0,,0.0000000000,16
8,1,19,0,,0.0000000000,16
8,3,0,0,,0.0000000000,32
8,3,1,0,,0.0000000000,32
8,3,2,0,,0.0000000000,32
8,3,3,0,,0.0000000000,32
8,3,4,0,,0.0000000000,32
8,3,5,0,,0.0000000000,32
8,3,6,0,,0.0000000000,32
8,3,7,0,,0.0000000000,32
8,3,8,0,,0.0000000000,32
8,3,9,0,,0.0000000000,32
8,3,10,0,,0.0000000000,32
8,3,11,0,,0.0000000000,32
8,3,12,0,,0.0000000000,32
8,3,13,0,,0.0000000000,32
8,3,14,0,,0.0000000000,32
8,3,15,0,,0.0000000000,32
8,3,16,0,,0.0000000000,32
8,3,17,0,,0.0000000000,32
8,3,18,0,,0.0000000000,32
8,3,19,0,,0.0000000000,32
