path_length,distractors_per_path_node,n,success_rate,median_first_passage_step,mean_peak_goal_activation,mean_final_goal_rank
2,0,20,1.000,8.0,1.014456,2.000
2,1,20,1.000,10.0,0.569200,2.600
2,3,20,1.000,15.0,0.263569,5.000
4,0,20,1.000,45.0,0.164712,4.000
4,1,20,1.000,77.0,0.037873,7.000
4,3,20,0.000,,0.000023,15.850
6,0,20,0.000,,0.000000,6.000
6,1,20,0.000,,0.000000,12.000
6,3,20,0.000,,0.000000,24.000
8,0,20,0.000,,0.000000,8.000
8,1,20,0.000,,0.000000,16.000
8,3,20,0.000,,0.000000,32.000
