condition,seed,realized_distance,node_count,edge_count,total_undirected_weight,success,first_passage_step,peak_goal_activation,final_goal_rank
fixed_initial,0,6,10,9,9.1047126855,0,,0.0000000000,9
fixed_useful,0,2,10,9,9.1047126855,1,8,1.1381000784,2
fixed_irrelevant,0,8,10,9,9.1047126855,0,,0.0000000000,9
mixed,0,2,10,21,9.1047126855,1,12,0.3789168643,6
fixed_initial,1,6,10,9,8.9918974753,0,,0.0000000000,9
fixed_useful,1,2,10,9,8.9918974753,1,7,1.2933152423,2
fixed_irrelevant,1,8,10,9,8.9918974753,0,,0.0000000000,9
mixed,1,2,10,21,8.9918974753,1,12,0.4189679770,5
fixed_initial,2,6,10,9,9.2802260055,0,,0.0000000000,9
fixed_useful,2,2,10,9,9.2802260055,1,8,1.1444518035,2
fixed_irrelevant,2,8,10,9,9.2802260055,0,,0.0000000000,9
mixed,2,2,10,19,9.2802260055,1,9,0.5202927820,3
fixed_initial,3,6,10,9,8.6229237235,0,,0.0000000000,9
fixed_useful,3,2,10,9,8.6229237235,1,7,1.1840661798,2
fixed_irrelevant,3,8,10,9,8.6229237235,0,,0.0000000000,9
mixed,3,2,10,21,8.6229237235,1,16,0.3518517505,6
fixed_initial,4,6,10,9,8.7367682979,0,,0.0000000000,9
fixed_useful,4,2,10,9,8.7367682979,1,8,1.1261252430,2
fixed_irrelevant,4,8,10,9,8.7367682979,0,,0.0000000000,9
mixed,4,2,10,22,8.7367682979,1,11,0.4724800137,4
fixed_initial,5,6,10,9,9.6810162818,0,,0.0000000000,9
fixed_useful,5,2,10,9,9.6810162818,1,8,1.1522672895,2
fixed_irrelevant,5,8,10,9,9.6810162818,0,,0.0000000000,9
mixed,5,2,10,19,9.6810162818,1,12,0.3880702691,5
fixed_initial,6,6,10,9,9.0513463116,0,,0.0000000000,9
fixed_useful,6,2,10,9,9.0513463116,1,8,1.1650726410,2
fixed_irrelevant,6,8,10,9,9.0513463116,0,,0.0000000000,9
mixed,6,2,10,21,9.0513463116,1,13,0.3558651043,5
fixed_initial,7,6,10,9,8.2810215744,0,,0.0000000000,9
fixed_useful,7,2,10,9,8.2810215744,1,8,1.1333093406,2
fixed_irrelevant,7,8,10,9,8.2810215744,0,,0.0000000000,9
mixed,7,2,10,22,8.2810215744,1,17,0.3306462303,7
fixed_initial,8,6,10,9,8.8812678303,0,,0.0000000000,9
fixed_useful,8,2,10,9,8.8812678303,1,7,1.2516650144,2
fixed_irrelevant,8,8,10,9,8.8812678303,0,,0.0000000000,9
mixed,8,2,10,19,8.8812678303,1,13,0.4011113098,4
