condition,seed,success,first_passage_step,peak_goal_activation,final_goal_rank,useful_dwell_steps,initial_dwell_steps,irrelevant_dwell_steps,switch_count,switch_times,segments
fixed_initial,0,0,,0.0000000000,9,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,0,1,8,1.1381000784,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,0,1,12,0.3789168643,6,0,0,0,0,[],"[[""mixed"",120]]"
periodic,0,1,33,0.3421144606,8,30,45,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15]]"
random_block,0,1,19,0.4813529278,7,30,45,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15]]"
adaptive_mismatch,0,1,33,1.0536621677,2,90,15,15,2,"[15,30]","[[""initial"",15],[""irrelevant"",15],[""useful"",90]]"
random_replay,0,1,19,0.1748116801,9,15,105,0,2,"[15,30]","[[""initial"",15],[""useful"",15],[""initial"",90]]"
fixed_initial,1,0,,0.0000000000,9,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,1,1,7,1.2933152423,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,1,1,12,0.4189679770,5,0,0,0,0,[],"[[""mixed"",120]]"
periodic,1,1,18,0.5415661744,3,45,45,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15]]"
random_block,1,1,31,0.3412955746,8,15,60,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""irrelevant"",15],[""initial"",15]]"
adaptive_mismatch,1,1,18,1.2606221765,2,105,15,0,1,[15],"[[""initial"",15],[""useful"",105]]"
random_replay,1,0,,0.0000000000,9,0,15,105,1,[15],"[[""initial"",15],[""irrelevant"",105]]"
fixed_initial,2,0,,0.0000000000,9,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,2,1,8,1.1444518035,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,2,1,9,0.5202927820,3,0,0,0,0,[],"[[""mixed"",120]]"
periodic,2,1,16,0.6960142968,2,45,45,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15]]"
random_block,2,1,16,0.7251886489,2,60,60,0,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""initial"",15],[""useful"",15],[""initial"",15],[""useful"",15],[""initial"",15],[""useful"",15]]"
adaptive_mismatch,2,1,16,1.1321419694,2,105,15,0,1,[15],"[[""initial"",15],[""useful"",105]]"
random_replay,2,1,16,1.1321419694,2,105,15,0,1,[15],"[[""initial"",15],[""useful"",105]]"
fixed_initial,3,0,,0.0000000000,9,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,3,1,7,1.1840661798,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,3,1,16,0.3518517505,6,0,0,0,0,[],"[[""mixed"",120]]"
periodic,3,1,18,0.5238585624,3,45,45,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15]]"
random_block,3,1,37,0.4643712308,8,15,60,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""initial"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15]]"
adaptive_mismatch,3,1,18,1.1707787604,2,105,15,0,1,[15],"[[""initial"",15],[""useful"",105]]"
random_replay,3,0,,0.0000000000,9,0,15,105,1,[15],"[[""initial"",15],[""irrelevant"",105]]"
fixed_initial,4,0,,0.0000000000,9,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,4,1,8,1.1261252430,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,4,1,11,0.4724800137,4,0,0,0,0,[],"[[""mixed"",120]]"
periodic,4,1,31,0.5686659345,4,30,45,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15]]"
random_block,4,1,46,0.5038979041,3,30,45,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15]]"
adaptive_mismatch,4,1,31,1.0798882666,2,90,15,15,2,"[15,30]","[[""initial"",15],[""irrelevant"",15],[""useful"",90]]"
random_replay,4,1,47,0.0227481489,9,0,105,15,2,"[15,30]","[[""initial"",15],[""irrelevant"",15],[""initial"",90]]"
fixed_initial,5,0,,0.0000000000,9,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,5,1,8,1.1522672895,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,5,1,12,0.3880702691,5,0,0,0,0,[],"[[""mixed"",120]]"
periodic,5,1,18,0.5212134826,3,45,45,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15]]"
random_block,5,1,31,0.5239705105,3,30,45,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""initial"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""useful"",15]]"
adaptive_mismatch,5,1,18,1.1278347737,2,105,15,0,1,[15],"[[""initial"",15],[""useful"",105]]"
random_replay,5,1,18,1.1278347737,2,105,15,0,1,[15],"[[""initial"",15],[""useful"",105]]"
fixed_initial,6,0,,0.0000000000,9,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,6,1,8,1.1650726410,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,6,1,13,0.3558651043,5,0,0,0,0,[],"[[""mixed"",120]]"
periodic,6,1,31,0.5787190220,7,30,45,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15]]"
random_block,6,1,46,0.4568329591,6,30,60,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""initial"",15]]"
adaptive_mismatch,6,1,31,1.1367330998,2,90,15,15,2,"[15,30]","[[""initial"",15],[""irrelevant"",15],[""useful"",90]]"
random_replay,6,0,,0.0000000000,9,0,105,15,2,"[15,30]","[[""initial"",15],[""irrelevant"",15],[""initial"",90]]"
fixed_initial,7,0,,0.0000000000,9,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,7,1,8,1.1333093406,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,7,1,17,0.3306462303,7,0,0,0,0,[],"[[""mixed"",120]]"
periodic,7,1,32,0.4080854233,8,30,45,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15]]"
random_block,7,1,19,0.1671036248,8,15,60,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15],[""initial"",15],[""irrelevant"",15],[""initial"",15],[""irrelevant"",15]]"
adaptive_mismatch,7,1,32,1.0580265158,2,90,15,15,2,"[15,30]","[[""initial"",15],[""irrelevant"",15],[""useful"",90]]"
random_replay,7,1,32,1.0580265158,2,90,15,15,2,"[15,30]","[[""initial"",15],[""irrelevant"",15],[""useful"",90]]"
fixed_initial,8,0,,0.0000000000,9,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,8,1,7,1.2516650144,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,8,1,13,0.4011113098,4,0,0,0,0,[],"[[""mixed"",120]]"
periodic,8,1,31,0.5284529687,4,30,45,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15]]"
random_block,8,1,19,0.5386027536,6,45,30,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""useful"",15],[""irrelevant"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15]]"
adaptive_mismatch,8,1,31,1.1880467318,2,90,15,15,2,"[15,30]","[[""initial"",15],[""irrelevant"",15],[""useful"",90]]"
random_replay,8,1,19,0.2378203809,9,15,105,0,2,"[15,30]","[[""initial"",15],[""useful"",15],[""initial"",90]]"
fixed_initial,9,0,,0.0000000000,9,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,9,1,8,1.0951837366,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,9,1,10,0.4852939404,4,0,0,0,0,[],"[[""mixed"",120]]"
periodic,9,1,16,0.4672133529,5,30,45,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15]]"
random_block,9,1,16,0.5288245497,5,45,30,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""useful"",15],[""irrelevant"",15]]"
adaptive_mismatch,9,1,16,0.7479440117,2,45,15,60,2,"[15,75]","[[""initial"",15],[""irrelevant"",60],[""useful"",45]]"
random_replay,9,1,16,0.5194799574,5,0,60,60,2,"[15,75]","[[""initial"",15],[""irrelevant"",60],[""initial"",45]]"
fixed_initial,10,0,,0.0000000000,9,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,10,1,8,1.1301143055,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,10,1,13,0.3901811627,6,0,0,0,0,[],"[[""mixed"",120]]"
periodic,10,1,19,0.4603066900,4,45,45,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15]]"
random_block,10,1,19,0.5215578144,6,45,45,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15]]"
adaptive_mismatch,10,1,19,1.1085861659,2,105,15,0,1,[15],"[[""initial"",15],[""useful"",105]]"
random_replay,10,1,19,1.1085861659,2,105,15,0,1,[15],"[[""initial"",15],[""useful"",105]]"
fixed_initial,11,0,,0.0000000000,9,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,11,1,8,1.1803998487,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,11,1,11,0.4190858730,5,0,0,0,0,[],"[[""mixed"",120]]"
periodic,11,1,19,0.5009342727,4,45,45,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15]]"
random_block,11,1,19,0.4359889953,4,45,45,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""useful"",15],[""initial"",15],[""useful"",15],[""irrelevant"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15]]"
adaptive_mismatch,11,1,19,1.1519726038,2,105,15,0,1,[15],"[[""initial"",15],[""useful"",105]]"
random_replay,11,0,,0.0000000000,9,0,15,105,1,[15],"[[""initial"",15],[""irrelevant"",105]]"
fixed_initial,12,0,,0.0000000000,9,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,12,1,8,1.2059872814,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,12,1,10,0.5194582627,4,0,0,0,0,[],"[[""mixed"",120]]"
periodic,12,1,32,0.4963019663,4,30,45,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15]]"
random_block,12,1,34,0.5454226041,4,30,60,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""useful"",15],[""initial"",15]]"
adaptive_mismatch,12,1,32,1.1219818816,2,90,15,15,2,"[15,30]","[[""initial"",15],[""irrelevant"",15],[""useful"",90]]"
random_replay,12,1,19,0.3689447128,9,15,15,90,2,"[15,30]","[[""initial"",15],[""useful"",15],[""irrelevant"",90]]"
fixed_initial,13,0,,0.0000000000,9,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,13,1,7,1.2112140624,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,13,1,13,0.4154763566,5,0,0,0,0,[],"[[""mixed"",120]]"
periodic,13,1,31,0.4755577855,7,30,45,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15]]"
random_block,13,1,31,0.6004541077,6,30,60,30,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15],[""initial"",15],[""useful"",15],[""initial"",15]]"
adaptive_mismatch,13,1,31,1.1385402911,2,90,15,15,2,"[15,30]","[[""initial"",15],[""irrelevant"",15],[""useful"",90]]"
random_replay,13,1,16,0.2671188024,9,15,15,90,2,"[15,30]","[[""initial"",15],[""useful"",15],[""irrelevant"",90]]"
fixed_initial,14,0,,0.0000000000,9,0,120,0,0,[],"[[""initial"",120]]"
fixed_useful,14,1,7,1.2357349461,2,120,0,0,0,[],"[[""useful"",120]]"
mixed,14,1,12,0.4504399455,5,0,0,0,0,[],"[[""mixed"",120]]"
periodic,14,1,24,0.5997235168,6,30,45,45,7,"[15,30,45,60,75,90,105]","[[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15],[""useful"",15],[""initial"",15],[""irrelevant"",15]]"
