decision_block_steps,evaluation_threshold,seed,success,first_passage_step,peak_goal_activation,final_goal_rank,useful_dwell_steps,switch_count,first_useful_entry_step
1,0.001,0,1,26,0.0265835746,6,4,12,2
1,0.001,1,1,10,1.2892335926,2,115,7,1
1,0.001,2,1,8,1.1438064438,2,117,4,1
1,0.001,3,1,11,1.1774203322,2,114,8,2
1,0.001,4,1,8,1.1241431813,2,116,5,2
1,0.001,5,1,9,1.1492558605,2,116,5,2
1,0.001,6,1,10,1.1612421457,2,115,7,1
1,0.001,7,1,11,1.1257407670,2,114,8,2
1,0.001,8,1,30,0.9378719955,2,59,10,1
1,0.001,9,1,8,1.0939072236,2,117,4,1
1,0.001,10,1,23,1.0914815228,2,100,5,2
1,0.001,11,1,9,1.1772307981,2,116,5,2
1,0.001,12,1,19,1.1718841485,2,104,5,2
1,0.001,13,1,9,1.2086268663,2,116,5,2
1,0.001,14,1,10,1.2312432650,2,115,7,1
1,0.001,15,1,9,0.9872198976,2,116,5,2
1,0.001,16,1,10,1.1570890177,2,115,7,1
1,0.001,17,1,20,0.0376042244,8,2,7,2
1,0.001,18,1,22,1.2172946697,2,100,5,2
1,0.001,19,1,19,0.2017410503,6,2,6,1
1,0.001,20,1,8,1.1027785098,2,117,4,1
1,0.001,21,1,11,1.2384361340,2,114,8,2
1,0.001,22,1,9,0.9533710118,2,117,4,1
1,0.001,23,1,23,1.1452118148,2,100,5,2
1,0.001,24,1,11,0.8973357388,2,62,7,1
1,0.001,25,1,23,0.6551365830,3,3,8,1
1,0.001,26,1,24,0.0536833873,6,3,9,1
1,0.001,27,1,24,1.1530563743,2,101,7,1
1,0.001,28,1,11,1.1584747180,2,114,8,2
1,0.001,29,1,11,1.1249866148,2,115,7,1
1,0.001,30,1,11,0.1763438518,6,3,9,2
1,0.001,31,1,11,1.1381700522,2,115,7,1
1,0.001,32,1,25,0.1105199286,6,3,9,2
1,0.001,33,1,9,1.1736835331,2,116,5,2
1,0.001,34,1,9,1.1425356318,2,116,5,2
1,0.001,35,1,8,1.1707989143,2,117,4,1
1,0.001,36,1,8,1.2463967214,2,116,5,2
1,0.001,37,1,40,0.9115521280,2,84,10,1
1,0.001,38,1,18,1.1078014655,2,106,5,2
1,0.001,39,1,20,0.9997988136,2,79,8,2
1,0.001,40,1,8,1.2029963121,2,117,4,1
1,0.001,41,1,11,0.6418049049,2,35,13,1
1,0.001,42,1,9,1.0152815622,2,116,5,2
1,0.001,43,1,11,1.2397668799,2,114,8,2
1,0.001,44,1,17,1.1430135015,2,76,5,2
1,0.001,45,1,10,1.1699616478,2,115,7,1
1,0.001,46,1,9,1.0465396575,2,117,4,1
1,0.001,47,1,19,1.1310450097,2,105,5,2
1,0.001,48,1,8,1.0735529669,2,117,4,1
