evaluation_threshold,decision_block_steps,n,success_rate,mean_peak_goal_activation,median_first_passage_step,mean_useful_dwell_steps,mean_switch_count,median_first_useful_entry_step
0.001,1,100,1.000,0.95818476,11.0,86.250,6.700,2.0
0.001,3,100,1.000,1.14200558,9.0,113.460,1.540,6.0
0.001,5,100,1.000,1.13254223,10.0,108.900,1.540,10.0
0.001,10,100,1.000,1.09428830,14.0,96.000,1.540,20.0
0.001,15,100,1.000,1.03998815,19.0,84.150,1.540,30.0
0.001,20,100,1.000,0.93675698,23.0,70.800,1.470,40.0
0.001,30,100,0.970,0.70249662,32.0,50.100,1.180,30.0
0.001,40,100,0.970,0.62185865,41.0,40.400,1.090,40.0
0.001,60,100,0.910,0.53786744,61.0,27.600,1.000,60.0
0.005,1,100,1.000,0.96407709,11.0,87.920,9.870,2.0
0.005,3,100,1.000,1.04991945,10.0,97.800,3.040,6.0
0.005,5,100,1.000,1.13661399,10.0,110.300,1.520,10.0
0.005,10,100,1.000,1.10522166,14.0,99.400,1.520,20.0
0.005,15,100,1.000,1.05571732,19.0,87.450,1.520,30.0
0.005,20,100,1.000,0.97219469,23.0,76.000,1.460,20.0
0.005,30,100,1.000,0.81537518,33.0,57.900,1.280,30.0
0.005,40,100,0.960,0.68349217,42.0,44.400,1.150,40.0
0.005,60,100,0.870,0.53752291,61.0,28.800,1.000,60.0
0.02,1,100,1.000,0.90920775,12.0,80.450,15.500,1.0
0.02,3,100,1.000,1.05224194,11.0,93.540,4.990,3.0
0.02,5,100,1.000,1.02564567,10.0,93.500,2.690,5.0
0.02,10,100,1.000,1.11361258,14.0,101.800,1.460,10.0
0.02,15,100,1.000,1.07054638,19.0,91.350,1.460,15.0
0.02,20,100,1.000,1.00648489,23.0,80.800,1.440,20.0
0.02,30,100,1.000,0.84190495,32.5,62.100,1.250,30.0
0.02,40,100,1.000,0.75426368,42.0,50.000,1.170,40.0
0.02,60,100,0.910,0.59011211,61.0,32.400,1.000,60.0
