decision_block_steps,evaluation_threshold,seed,success,peak_goal_activation,useful_dwell_steps,switch_count
1,0.0005,1000,1,1.1131875923,116,5
1,0.0005,1001,1,0.9988738189,117,4
1,0.0005,1002,1,1.1046620358,100,5
1,0.0005,1003,1,0.8600917998,57,8
1,0.0005,1004,1,1.1011454733,60,7
1,0.0005,1005,1,1.1945367773,116,5
1,0.0005,1006,1,0.9888972526,67,5
1,0.0005,1007,1,1.1039589720,103,5
1,0.0005,1008,1,0.1007903999,4,12
1,0.0005,1009,1,0.1748513594,2,6
1,0.0005,1010,1,1.1851598290,117,4
1,0.0005,1011,1,0.7861305538,49,5
1,0.0005,1012,1,0.9308248030,69,8
1,0.0005,1013,1,1.1156330752,117,4
1,0.0005,1014,1,1.0591498008,105,5
1,0.0005,1015,1,1.1923191532,116,5
1,0.0005,1016,1,1.0715423526,83,5
1,0.0005,1017,1,0.9224663103,63,8
1,0.0005,1018,1,1.2039539483,117,4
1,0.0005,1019,1,1.1427510326,96,4
1,0.0005,1020,1,1.2142331345,117,4
1,0.0005,1021,1,1.0604512284,106,5
1,0.0005,1022,1,1.2594288167,116,5
1,0.0005,1023,1,1.1631301231,107,4
1,0.0005,1024,1,1.0627286414,116,5
1,0.0005,1025,1,1.1037393026,116,5
1,0.0005,1026,1,0.1228306582,4,11
1,0.0005,1027,1,1.2053189750,95,4
1,0.0005,1028,1,1.1369749820,114,8
1,0.0005,1029,1,1.1473634317,117,4
1,0.0005,1030,1,1.0284362168,95,5
1,0.0005,1031,1,0.2464879467,3,9
1,0.0005,1032,1,1.1897918738,117,4
1,0.0005,1033,1,0.9840285431,116,5
1,0.0005,1034,1,0.9316539277,66,4
1,0.0005,1035,1,0.9453873920,61,5
1,0.0005,1036,1,1.2053620154,116,5
1,0.0005,1037,1,0.3393557791,2,7
1,0.0005,1038,1,1.1445961708,116,5
1,0.0005,1039,1,0.0464282933,3,9
1,0.0005,1040,1,1.1782709241,116,5
1,0.0005,1041,1,1.1045272751,114,8
1,0.0005,1042,1,1.1570043733,117,4
1,0.0005,1043,1,1.0240714680,116,5
1,0.0005,1044,1,0.7566009975,45,8
1,0.0005,1045,1,1.1053443345,117,4
1,0.0005,1046,1,1.1634145745,103,5
1,0.0005,1047,1,1.0650835759,81,8
1,0.0005,1048,1,1.1307753269,116,5
1,0.0005,1049,1,1.0717387258,106,7
1,0.0005,1050,1,1.1937491604,117,4
1,0.0005,1051,1,1.1370620113,110,4
1,0.0005,1052,1,1.0925588583,116,5
1,0.0005,1053,1,1.0625450974,100,5
1,0.0005,1054,1,0.3480905776,2,6
1,0.0005,1055,1,1.1926173700,108,4
1,0.0005,1056,1,1.2557007224,108,4
1,0.0005,1057,1,1.0883039230,117,4
1,0.0005,1058,1,1.1146639134,117,4
1,0.0005,1059,1,1.1532985886,96,7
1,0.0005,1060,1,1.1001488415,106,4
1,0.0005,1061,1,0.3468990940,2,6
1,0.0005,1062,1,1.1655016195,109,5
1,0.0005,1063,1,1.2433000971,104,5
1,0.0005,1064,1,1.1023195348,117,4
1,0.0005,1065,1,0.3516680883,2,6
1,0.0005,1066,1,0.4218918405,2,6
1,0.0005,1067,1,1.2822315397,115,7
1,0.0005,1068,1,0.7239335561,2,7
1,0.0005,1069,1,1.0997736368,108,4
