evaluation_threshold,decision_block_steps,n,success_rate,mean_peak_goal_activation,mean_useful_dwell_steps,mean_switch_count
0.0005,1,200,1.000,0.94994336,86.340,5.980
0.0005,2,200,1.000,1.13525694,115.780,1.485
0.0005,3,200,1.000,1.13458036,113.490,1.470
0.0005,4,200,1.000,1.13016606,111.080,1.470
0.0005,5,200,1.000,1.12530486,108.850,1.470
0.0005,7,200,1.000,1.11085757,103.515,1.470
0.0005,10,200,1.000,1.08566891,96.100,1.470
0.0005,15,200,1.000,1.03017690,84.450,1.470
0.0005,20,200,1.000,0.93316437,73.000,1.385
0.0005,30,200,0.970,0.74588254,54.450,1.150
0.0005,40,200,0.960,0.68105618,45.200,1.070
0.0005,60,200,0.940,0.61091840,31.800,1.000
0.001,1,200,1.000,0.92810603,83.805,6.815
0.001,2,200,1.000,1.10096026,107.570,2.575
0.001,3,200,1.000,1.13335323,112.995,1.550
0.001,4,200,1.000,1.12833295,110.500,1.550
0.001,5,200,1.000,1.12252028,108.075,1.550
0.001,7,200,1.000,1.10737167,102.780,1.550
0.001,10,200,1.000,1.07037818,92.400,1.550
0.001,15,200,1.000,1.00161759,79.200,1.550
0.001,20,200,1.000,0.88372240,65.700,1.460
0.001,30,200,0.970,0.64837620,46.200,1.120
0.001,40,200,0.975,0.60110645,38.400,1.060
0.001,60,200,0.960,0.55278364,27.000,1.000
0.002,1,200,1.000,0.93614917,84.020,7.895
0.002,2,200,1.000,1.05126186,95.190,4.020
0.002,3,200,1.000,1.13612459,114.285,1.445
0.002,4,200,1.000,1.13148408,111.700,1.445
0.002,5,200,1.000,1.12685425,109.525,1.445
0.002,7,200,1.000,1.11717387,105.510,1.445
0.002,10,200,1.000,1.09070364,97.550,1.445
0.002,15,200,1.000,1.03949842,86.400,1.445
0.002,20,200,1.000,0.94663153,75.100,1.360
0.002,30,200,0.985,0.79463895,58.050,1.170
0.002,40,200,0.970,0.71648797,47.600,1.080
0.002,60,200,0.925,0.63413235,33.300,1.000
0.005,1,200,1.000,0.96812664,85.870,9.750
0.005,2,200,1.000,1.04718308,96.260,4.685
0.005,3,200,1.000,1.04761444,98.280,2.870
0.005,4,200,1.000,1.13438252,113.120,1.410
0.005,5,200,1.000,1.12967990,110.625,1.410
0.005,7,200,1.000,1.12051806,106.770,1.410
0.005,10,200,1.000,1.09951834,100.150,1.410
0.005,15,200,1.000,1.05035793,88.200,1.410
0.005,20,200,1.000,0.97246169,77.600,1.360
0.005,30,200,1.000,0.82196394,61.800,1.165
0.005,40,200,0.965,0.74053878,50.600,1.085
0.005,60,200,0.930,0.64811990,35.400,1.000
0.01,1,200,1.000,0.89696013,78.145,12.435
0.01,2,200,1.000,1.01735709,92.460,5.835
0.01,3,200,1.000,1.01698023,90.525,3.945
0.01,4,200,1.000,1.05592730,98.680,2.560
0.01,5,200,1.000,1.12958919,110.425,1.485
0.01,7,200,1.000,1.11705368,105.230,1.485
0.01,10,200,1.000,1.09645155,98.650,1.485
0.01,15,200,1.000,1.04297453,85.725,1.485
0.01,20,200,1.000,0.96438299,74.100,1.430
0.01,30,200,1.000,0.79451673,57.000,1.200
0.01,40,200,1.000,0.71217746,45.800,1.115
0.01,60,200,0.945,0.60720618,30.900,1.000
0.02,1,200,1.000,0.91324565,80.500,15.655
0.02,2,200,1.000,0.98083490,87.730,7.660
0.02,3,200,1.000,1.03662364,92.295,4.965
0.02,4,200,1.000,1.01232131,88.880,3.900
0.02,5,200,1.000,1.04787466,95.850,2.705
0.02,7,200,1.000,1.12138356,107.050,1.455
0.02,10,200,1.000,1.10147863,100.350,1.455
0.02,15,200,1.000,1.05346263,89.550,1.455
0.02,20,200,1.000,0.98709417,77.800,1.455
0.02,30,200,1.000,0.81659487,60.000,1.190
0.02,40,200,1.000,0.72749740,48.000,1.110
0.02,60,200,0.960,0.62407118,32.700,1.000
0.04,1,200,1.000,0.89155141,76.950,20.625
0.04,2,200,1.000,0.94936948,83.170,10.200
0.04,3,200,1.000,0.97508781,85.395,6.675
0.04,4,200,1.000,1.02627127,90.080,4.880
0.04,5,200,1.000,0.99554422,85.375,4.025
0.04,7,200,1.000,1.02850526,93.110,2.435
0.04,10,200,1.000,1.11261130,102.950,1.475
0.04,15,200,1.000,1.07942693,93.375,1.475
0.04,20,200,1.000,1.02863689,83.500,1.475
0.04,30,200,1.000,0.87186867,62.850,1.310
0.04,40,200,1.000,0.76212743,49.600,1.190
0.04,60,200,0.945,0.59391363,31.500,1.000
