topology,propagation_rule,evaluation_threshold,optimal_block_steps,optimal_mean_peak_activation
branched_path,source_normalized,0.0005,3,0.60199467
branched_path,source_normalized,0.001,4,0.59951075
branched_path,source_normalized,0.002,4,0.59970920
branched_path,source_normalized,0.005,7,0.59389077
branched_path,source_normalized,0.01,7,0.59328784
branched_path,source_normalized,0.02,10,0.59223042
branched_path,source_normalized,0.04,15,0.58102039
branched_path,symmetric_normalized,0.0005,3,0.48662731
branched_path,symmetric_normalized,0.001,4,0.48484211
branched_path,symmetric_normalized,0.002,5,0.48368358
branched_path,symmetric_normalized,0.005,7,0.48157206
branched_path,symmetric_normalized,0.01,10,0.47327274
branched_path,symmetric_normalized,0.02,10,0.47298703
branched_path,symmetric_normalized,0.04,15,0.46960555
path,source_normalized,0.0005,2,1.14620188
path,source_normalized,0.001,3,1.14082664
path,source_normalized,0.002,3,1.14248696
path,source_normalized,0.005,4,1.13983735
path,source_normalized,0.01,5,1.13155928
path,source_normalized,0.02,7,1.12813639
path,source_normalized,0.04,10,1.11538525
path,symmetric_normalized,0.0005,3,0.79060990
path,symmetric_normalized,0.001,3,0.79037867
path,symmetric_normalized,0.002,4,0.78780735
path,symmetric_normalized,0.005,5,0.78536175
path,symmetric_normalized,0.01,7,0.77627365
path,symmetric_normalized,0.02,7,0.78457168
path,symmetric_normalized,0.04,10,0.77867338
