topology,propagation_rule,decision_block_steps,evaluation_threshold,seed,success,peak_goal_activation,useful_dwell_steps,switch_count
path,source_normalized,1,0.0005,2000,1,0.2236847750,2,7
path,source_normalized,1,0.0005,2001,1,1.0677625249,116,5
path,source_normalized,1,0.0005,2002,1,0.1968796729,3,9
path,source_normalized,1,0.0005,2003,1,0.2010150834,2,6
path,source_normalized,1,0.0005,2004,1,1.1205451277,79,5
path,source_normalized,1,0.0005,2005,1,0.0303643245,3,9
path,source_normalized,1,0.0005,2006,1,1.0725724830,117,4
path,source_normalized,1,0.0005,2007,1,1.2136077844,117,4
path,source_normalized,1,0.0005,2008,1,1.0982452326,117,4
path,source_normalized,1,0.0005,2009,1,1.2268863581,115,7
path,source_normalized,1,0.0005,2010,1,1.1696749466,108,4
path,source_normalized,1,0.0005,2011,1,1.2094077486,117,4
path,source_normalized,1,0.0005,2012,1,0.0610763903,3,9
path,source_normalized,1,0.0005,2013,1,0.2005621975,3,9
path,source_normalized,1,0.0005,2014,1,1.1507558812,117,4
path,source_normalized,1,0.0005,2015,1,1.1608971991,114,8
path,source_normalized,1,0.0005,2016,1,1.0388996151,95,5
path,source_normalized,1,0.0005,2017,1,1.1525140534,117,4
path,source_normalized,1,0.0005,2018,1,0.2069454624,3,7
path,source_normalized,1,0.0005,2019,1,0.2807405676,3,9
path,source_normalized,1,0.0005,2020,1,0.9950286930,63,4
path,source_normalized,1,0.0005,2021,1,0.3663116144,2,6
path,source_normalized,1,0.0005,2022,1,1.1012042465,71,4
path,source_normalized,1,0.0005,2023,1,1.2640335657,116,5
path,source_normalized,1,0.0005,2024,1,0.8380893159,57,5
path,source_normalized,1,0.0005,2025,1,1.1687444987,108,4
path,source_normalized,1,0.0005,2026,1,0.9486845880,55,5
path,source_normalized,1,0.0005,2027,1,1.1892853559,115,7
path,source_normalized,1,0.0005,2028,1,0.0378979591,4,12
path,source_normalized,1,0.0005,2029,1,0.8569079633,62,8
path,source_normalized,1,0.0005,2030,1,1.1369291544,108,4
path,source_normalized,1,0.0005,2031,1,0.1468107056,10,8
path,source_normalized,1,0.0005,2032,1,1.1038064139,104,5
path,source_normalized,1,0.0005,2033,1,1.2233759003,114,8
path,source_normalized,1,0.0005,2034,1,1.2378503499,117,4
path,source_normalized,1,0.0005,2035,1,1.1821459533,116,5
path,source_normalized,1,0.0005,2036,1,0.6844107471,52,8
path,source_normalized,1,0.0005,2037,1,1.1226439421,87,8
path,source_normalized,1,0.0005,2038,1,1.1689071326,114,8
path,source_normalized,1,0.0005,2039,1,0.8163469551,57,7
path,source_normalized,1,0.0005,2040,1,1.1693921076,117,4
path,source_normalized,1,0.0005,2041,1,1.2802366765,117,4
path,source_normalized,1,0.0005,2042,1,0.0957527652,3,9
path,source_normalized,1,0.0005,2043,1,0.2507575725,2,6
path,source_normalized,1,0.0005,2044,1,1.0895946580,116,5
path,source_normalized,1,0.0005,2045,1,0.1303912064,3,9
path,source_normalized,1,0.0005,2046,1,1.0488512416,65,5
path,source_normalized,1,0.0005,2047,1,1.1097201753,117,4
path,source_normalized,1,0.0005,2048,1,0.9778050873,65,5
path,source_normalized,1,0.0005,2049,1,1.0579610271,114,8
path,source_normalized,1,0.0005,2050,1,1.1750677581,117,4
path,source_normalized,1,0.0005,2051,1,1.2094054776,115,7
path,source_normalized,1,0.0005,2052,1,1.0307564657,117,4
path,source_normalized,1,0.0005,2053,1,1.2375755764,116,5
path,source_normalized,1,0.0005,2054,1,1.1225029858,117,4
path,source_normalized,1,0.0005,2055,1,1.2775761874,114,8
path,source_normalized,1,0.0005,2056,1,1.0921067848,117,4
path,source_normalized,1,0.0005,2057,1,1.0420776466,108,5
path,source_normalized,1,0.0005,2058,1,1.2572262921,109,4
path,source_normalized,1,0.0005,2059,1,1.1406454605,116,5
path,source_normalized,1,0.0005,2060,1,1.1871471200,117,4
path,source_normalized,1,0.0005,2061,1,0.7714328440,2,7
path,source_normalized,1,0.0005,2062,1,1.0917964943,116,5
path,source_normalized,1,0.0005,2063,1,0.8412890465,2,7
path,source_normalized,1,0.0005,2064,1,0.0954661450,4,11
path,source_normalized,1,0.0005,2065,1,1.0181465441,89,7
path,source_normalized,1,0.0005,2066,1,0.9405038715,80,8
path,source_normalized,1,0.0005,2067,1,1.1706384107,117,4
path,source_normalized,1,0.0005,2068,1,1.1506416815,115,7
path,source_normalized,1,0.0005,2069,1,0.9213394149,47,5
path,source_normalized,1,0.0005,2070,1,0.2726141367,3,9
path,source_normalized,1,0.0005,2071,1,0.0908706012,3,9
path,source_normalized,1,0.0005,2072,1,1.2100678284,114,8
