topology,propagation_rule,evaluation_threshold,decision_block_steps,n,success_rate,mean_peak_goal_activation,mean_useful_dwell_steps,mean_switch_count
branched_path,source_normalized,0.0005,1,150,0.9867,0.50029293,89.387,8.087
branched_path,source_normalized,0.0005,2,150,1.0000,0.57809216,102.320,3.940
branched_path,source_normalized,0.0005,3,150,1.0000,0.60199467,114.060,1.480
branched_path,source_normalized,0.0005,4,150,1.0000,0.59973224,111.547,1.480
branched_path,source_normalized,0.0005,5,150,1.0000,0.59710203,109.233,1.480
branched_path,source_normalized,0.0005,7,150,1.0000,0.59122615,104.973,1.480
branched_path,source_normalized,0.0005,10,150,1.0000,0.58055651,98.733,1.480
branched_path,source_normalized,0.0005,15,150,1.0000,0.54994150,86.700,1.480
branched_path,source_normalized,0.0005,20,150,1.0000,0.50847765,76.533,1.433
branched_path,source_normalized,0.0005,30,150,0.9733,0.43381453,60.400,1.253
branched_path,source_normalized,0.0005,40,150,0.9933,0.39129392,49.333,1.193
branched_path,source_normalized,0.0005,60,150,0.8000,0.30423066,31.200,1.000
branched_path,source_normalized,0.001,1,150,0.9867,0.48445112,83.567,10.113
branched_path,source_normalized,0.001,2,150,1.0000,0.57550931,101.533,4.207
branched_path,source_normalized,0.001,3,150,1.0000,0.59317417,109.760,2.267
branched_path,source_normalized,0.001,4,150,1.0000,0.59951075,111.120,1.547
branched_path,source_normalized,0.001,5,150,1.0000,0.59683804,108.667,1.547
branched_path,source_normalized,0.001,7,150,1.0000,0.58991528,103.807,1.547
branched_path,source_normalized,0.001,10,150,1.0000,0.57927114,97.733,1.547
branched_path,source_normalized,0.001,15,150,1.0000,0.54423491,84.400,1.547
branched_path,source_normalized,0.001,20,150,1.0000,0.49533193,72.800,1.500
branched_path,source_normalized,0.001,30,150,0.9800,0.41117764,55.600,1.273
branched_path,source_normalized,0.001,40,150,0.9933,0.36866788,44.800,1.213
branched_path,source_normalized,0.001,60,150,0.7800,0.27340432,27.200,1.000
branched_path,source_normalized,0.002,1,150,0.9867,0.49519329,85.240,12.027
branched_path,source_normalized,0.002,2,150,1.0000,0.53061743,92.453,5.727
branched_path,source_normalized,0.002,3,150,1.0000,0.56709781,98.800,3.720
branched_path,source_normalized,0.002,4,150,1.0000,0.59970920,111.760,1.620
branched_path,source_normalized,0.002,5,150,1.0000,0.59766555,109.167,1.540
branched_path,source_normalized,0.002,7,150,1.0000,0.59195781,104.693,1.540
branched_path,source_normalized,0.002,10,150,1.0000,0.58092111,98.333,1.540
branched_path,source_normalized,0.002,15,150,1.0000,0.54789090,86.100,1.540
branched_path,source_normalized,0.002,20,150,1.0000,0.50103614,74.667,1.513
branched_path,source_normalized,0.002,30,150,0.9800,0.41387433,57.000,1.287
branched_path,source_normalized,0.002,40,150,1.0000,0.37738127,46.133,1.233
branched_path,source_normalized,0.002,60,150,0.7667,0.27217513,27.600,1.000
branched_path,source_normalized,0.005,1,150,1.0000,0.50686553,86.040,15.207
branched_path,source_normalized,0.005,2,150,1.0000,0.53881866,93.107,7.467
branched_path,source_normalized,0.005,3,150,1.0000,0.55985387,96.780,4.553
branched_path,source_normalized,0.005,4,150,1.0000,0.55862532,95.493,3.647
branched_path,source_normalized,0.005,5,150,1.0000,0.58350625,104.867,2.193
branched_path,source_normalized,0.005,7,150,1.0000,0.59389077,105.393,1.553
branched_path,source_normalized,0.005,10,150,1.0000,0.58165989,98.000,1.553
branched_path,source_normalized,0.005,15,150,1.0000,0.55576200,87.200,1.553
branched_path,source_normalized,0.005,20,150,1.0000,0.51321080,75.333,1.553
branched_path,source_normalized,0.005,30,150,0.9800,0.41272679,55.400,1.293
branched_path,source_normalized,0.005,40,150,1.0000,0.36387719,44.267,1.213
branched_path,source_normalized,0.005,60,150,0.7867,0.26972286,26.800,1.000
branched_path,source_normalized,0.01,1,150,1.0000,0.49906081,84.507,20.360
branched_path,source_normalized,0.01,2,150,1.0000,0.49906370,84.733,10.087
branched_path,source_normalized,0.01,3,150,1.0000,0.53256916,90.640,6.367
branched_path,source_normalized,0.01,4,150,1.0000,0.55201345,94.187,4.647
branched_path,source_normalized,0.01,5,150,1.0000,0.54917540,92.467,3.980
branched_path,source_normalized,0.01,7,150,1.0000,0.59328784,106.793,1.607
branched_path,source_normalized,0.01,10,150,1.0000,0.58151058,99.600,1.507
branched_path,source_normalized,0.01,15,150,1.0000,0.55473879,89.400,1.507
branched_path,source_normalized,0.01,20,150,1.0000,0.51676120,79.600,1.507
branched_path,source_normalized,0.01,30,150,1.0000,0.44326480,61.400,1.300
branched_path,source_normalized,0.01,40,150,1.0000,0.39183246,48.533,1.227
branched_path,source_normalized,0.01,60,150,0.7733,0.29563157,29.600,1.000
branched_path,source_normalized,0.02,1,150,1.0000,0.48845072,80.053,27.700
branched_path,source_normalized,0.02,2,150,1.0000,0.49753835,82.867,13.753
branched_path,source_normalized,0.02,3,150,1.0000,0.48456982,79.540,8.973
branched_path,source_normalized,0.02,4,150,1.0000,0.52530707,87.707,6.273
branched_path,source_normalized,0.02,5,150,1.0000,0.55040701,91.467,4.947
branched_path,source_normalized,0.02,7,150,1.0000,0.54132012,90.780,3.353
branched_path,source_normalized,0.02,10,150,1.0000,0.59223042,103.400,1.540
branched_path,source_normalized,0.02,15,150,1.0000,0.56845344,91.300,1.540
branched_path,source_normalized,0.02,20,150,1.0000,0.53826778,81.467,1.540
branched_path,source_normalized,0.02,30,150,1.0000,0.46034702,62.800,1.367
branched_path,source_normalized,0.02,40,150,1.0000,0.39385725,48.000,1.280
branched_path,source_normalized,0.02,60,150,0.7667,0.27281232,27.600,1.000
branched_path,source_normalized,0.04,1,150,1.0000,0.45074647,71.493,40.673
branched_path,source_normalized,0.04,2,150,1.0000,0.43320729,69.733,20.293
branched_path,source_normalized,0.04,3,150,1.0000,0.47122132,76.120,12.933
branched_path,source_normalized,0.04,4,150,1.0000,0.49406049,79.173,9.427
branched_path,source_normalized,0.04,5,150,1.0000,0.50707586,82.533,7.313
branched_path,source_normalized,0.04,7,150,1.0000,0.52438859,84.367,4.967
branched_path,source_normalized,0.04,10,150,1.0000,0.53346108,87.733,3.053
branched_path,source_normalized,0.04,15,150,1.0000,0.58102039,96.800,1.460
branched_path,source_normalized,0.04,20,150,1.0000,0.55884612,87.200,1.460
branched_path,source_normalized,0.04,30,150,1.0000,0.49342333,69.200,1.347
branched_path,source_normalized,0.04,40,150,1.0000,0.45217759,56.533,1.333
branched_path,source_normalized,0.04,60,150,0.7733,0.30296838,32.400,1.000
branched_path,symmetric_normalized,0.0005,1,150,0.9533,0.37616774,81.913,9.760
branched_path,symmetric_normalized,0.0005,2,150,1.0000,0.46680790,102.547,4.140
branched_path,symmetric_normalized,0.0005,3,150,1.0000,0.48662731,114.820,1.480
branched_path,symmetric_normalized,0.0005,4,150,1.0000,0.48478247,112.000,1.480
branched_path,symmetric_normalized,0.0005,5,150,1.0000,0.48303431,109.867,1.480
branched_path,symmetric_normalized,0.0005,7,150,1.0000,0.47876535,105.673,1.480
branched_path,symmetric_normalized,0.0005,10,150,1.0000,0.47055348,99.667,1.480
branched_path,symmetric_normalized,0.0005,15,150,1.0000,0.45030311,88.900,1.480
branched_path,symmetric_normalized,0.0005,20,150,1.0000,0.41833582,77.600,1.480
branched_path,symmetric_normalized,0.0005,30,150,0.9667,0.35151638,60.800,1.267
branched_path,symmetric_normalized,0.0005,40,150,0.9867,0.31566226,49.600,1.200
branched_path,symmetric_normalized,0.0005,60,150,0.8000,0.24154555,31.200,1.000
branched_path,symmetric_normalized,0.001,1,150,0.9533,0.38083256,82.427,11.600
branched_path,symmetric_normalized,0.001,2,150,1.0000,0.44427208,96.427,4.947
branched_path,symmetric_normalized,0.001,3,150,1.0000,0.47934614,109.600,2.547
branched_path,symmetric_normalized,0.001,4,150,1.0000,0.48484211,111.973,1.547
branched_path,symmetric_normalized,0.001,5,150,1.0000,0.48259007,109.233,1.547
branched_path,symmetric_normalized,0.001,7,150,1.0000,0.47786405,104.740,1.547
branched_path,symmetric_normalized,0.001,10,150,1.0000,0.46875764,98.267,1.547
branched_path,symmetric_normalized,0.001,15,150,1.0000,0.44622085,86.900,1.547
branched_path,symmetric_normalized,0.001,20,150,1.0000,0.40862081,74.400,1.547
branched_path,symmetric_normalized,0.001,30,150,0.9667,0.33344885,56.200,1.293
branched_path,symmetric_normalized,0.001,40,150,0.9867,0.29524198,45.067,1.220
branched_path,symmetric_normalized,0.001,60,150,0.7800,0.21498319,27.200,1.000
branched_path,symmetric_normalized,0.002,1,150,0.9667,0.39472617,85.880,13.653
branched_path,symmetric_normalized,0.002,2,150,1.0000,0.42482620,92.493,6.227
branched_path,symmetric_normalized,0.002,3,150,1.0000,0.45775686,98.300,4.080
branched_path,symmetric_normalized,0.002,4,150,1.0000,0.47580607,108.000,2.280
branched_path,symmetric_normalized,0.002,5,150,1.0000,0.48368358,110.200,1.540
branched_path,symmetric_normalized,0.002,7,150,1.0000,0.47895862,105.393,1.540
branched_path,symmetric_normalized,0.002,10,150,1.0000,0.47057017,99.067,1.540
branched_path,symmetric_normalized,0.002,15,150,1.0000,0.45129195,88.600,1.540
branched_path,symmetric_normalized,0.002,20,150,1.0000,0.41496207,76.933,1.540
branched_path,symmetric_normalized,0.002,30,150,0.9733,0.33763533,57.600,1.307
branched_path,symmetric_normalized,0.002,40,150,0.9800,0.30164508,46.133,1.233
branched_path,symmetric_normalized,0.002,60,150,0.7667,0.21568568,27.600,1.000
branched_path,symmetric_normalized,0.005,1,150,1.0000,0.38809661,82.240,18.240
branched_path,symmetric_normalized,0.005,2,150,1.0000,0.39736890,83.800,8.927
branched_path,symmetric_normalized,0.005,3,150,1.0000,0.45049136,95.100,5.560
branched_path,symmetric_normalized,0.005,4,150,1.0000,0.44201599,93.093,4.007
branched_path,symmetric_normalized,0.005,5,150,1.0000,0.46968657,103.833,2.533
branched_path,symmetric_normalized,0.005,7,150,1.0000,0.48157206,107.120,1.553
branched_path,symmetric_normalized,0.005,10,150,1.0000,0.47267565,99.400,1.553
branched_path,symmetric_normalized,0.005,15,150,1.0000,0.45373724,88.800,1.553
branched_path,symmetric_normalized,0.005,20,150,1.0000,0.42125582,77.200,1.553
branched_path,symmetric_normalized,0.005,30,150,0.9933,0.33782953,56.400,1.313
branched_path,symmetric_normalized,0.005,40,150,0.9733,0.29182843,44.267,1.213
branched_path,symmetric_normalized,0.005,60,150,0.7867,0.21549543,26.800,1.000
branched_path,symmetric_normalized,0.01,1,150,1.0000,0.38967878,80.933,23.973
branched_path,symmetric_normalized,0.01,2,150,1.0000,0.39753683,83.107,11.780
branched_path,symmetric_normalized,0.01,3,150,1.0000,0.42482984,89.140,7.300
branched_path,symmetric_normalized,0.01,4,150,1.0000,0.44799667,94.933,5.160
branched_path,symmetric_normalized,0.01,5,150,1.0000,0.43391515,89.633,4.287
branched_path,symmetric_normalized,0.01,7,150,1.0000,0.46826820,102.353,2.280
branched_path,symmetric_normalized,0.01,10,150,1.0000,0.47327274,101.333,1.507
branched_path,symmetric_normalized,0.01,15,150,1.0000,0.45084362,90.100,1.507
branched_path,symmetric_normalized,0.01,20,150,1.0000,0.41926193,80.000,1.507
branched_path,symmetric_normalized,0.01,30,150,1.0000,0.36443103,63.000,1.320
branched_path,symmetric_normalized,0.01,40,150,1.0000,0.31995360,49.600,1.253
branched_path,symmetric_normalized,0.01,60,150,0.7733,0.23318153,29.600,1.000
branched_path,symmetric_normalized,0.02,1,150,1.0000,0.37423298,75.653,32.847
branched_path,symmetric_normalized,0.02,2,150,1.0000,0.38711657,79.200,16.020
branched_path,symmetric_normalized,0.02,3,150,1.0000,0.39229164,80.420,10.527
branched_path,symmetric_normalized,0.02,4,150,1.0000,0.41580399,85.600,7.320
