topology,propagation_rule,policy,evaluation_threshold,optimal_patience_steps,optimal_mean_peak_activation
branched_path,symmetric_normalized,adaptation_only,0.0005,40,0.29705174
branched_path,symmetric_normalized,adaptation_only,0.001,40,0.29201853
branched_path,symmetric_normalized,adaptation_only,0.002,40,0.28919186
branched_path,symmetric_normalized,adaptation_only,0.005,40,0.29660532
branched_path,symmetric_normalized,adaptation_only,0.01,40,0.29004850
branched_path,symmetric_normalized,adaptation_only,0.02,40,0.28868697
branched_path,symmetric_normalized,adaptation_only,0.04,40,0.29662693
branched_path,symmetric_normalized,progress_coupled,0.0005,2,0.48522243
branched_path,symmetric_normalized,progress_coupled,0.001,3,0.48471920
branched_path,symmetric_normalized,progress_coupled,0.002,3,0.48473932
branched_path,symmetric_normalized,progress_coupled,0.005,4,0.48388564
branched_path,symmetric_normalized,progress_coupled,0.01,5,0.48321903
branched_path,symmetric_normalized,progress_coupled,0.02,7,0.47985222
branched_path,symmetric_normalized,progress_coupled,0.04,10,0.47538607
branched_path,symmetric_normalized,timing_replay,0.0005,40,0.22562709
branched_path,symmetric_normalized,timing_replay,0.001,40,0.23155049
branched_path,symmetric_normalized,timing_replay,0.002,40,0.20512337
branched_path,symmetric_normalized,timing_replay,0.005,40,0.23046670
branched_path,symmetric_normalized,timing_replay,0.01,40,0.20650339
branched_path,symmetric_normalized,timing_replay,0.02,40,0.23351705
branched_path,symmetric_normalized,timing_replay,0.04,60,0.21560726
path,source_normalized,adaptation_only,0.0005,40,0.77933574
path,source_normalized,adaptation_only,0.001,40,0.76183111
path,source_normalized,adaptation_only,0.002,40,0.77587930
path,source_normalized,adaptation_only,0.005,40,0.78841620
path,source_normalized,adaptation_only,0.01,40,0.76543203
path,source_normalized,adaptation_only,0.02,40,0.76918142
path,source_normalized,adaptation_only,0.04,40,0.77322547
path,source_normalized,progress_coupled,0.0005,2,1.15279225
path,source_normalized,progress_coupled,0.001,2,1.15281400
path,source_normalized,progress_coupled,0.002,2,1.15288719
path,source_normalized,progress_coupled,0.005,3,1.15086916
path,source_normalized,progress_coupled,0.01,3,1.15146661
path,source_normalized,progress_coupled,0.02,4,1.14924727
path,source_normalized,progress_coupled,0.04,7,1.13762612
path,source_normalized,timing_replay,0.0005,40,0.61046128
path,source_normalized,timing_replay,0.001,40,0.60552885
path,source_normalized,timing_replay,0.002,30,0.60865411
path,source_normalized,timing_replay,0.005,40,0.64942949
path,source_normalized,timing_replay,0.01,40,0.58364292
path,source_normalized,timing_replay,0.02,40,0.60404688
path,source_normalized,timing_replay,0.04,40,0.63758372
