topology,propagation_rule,policy,evaluation_threshold,patience_steps,n,success_rate,mean_peak_goal_activation,mean_useful_dwell_steps,mean_switch_count,variable_dwell_seed_fraction
branched_path,symmetric_normalized,adaptation_only,0.0005,1,150,1.0000,0.13808341,40.000,119.000,0.0000
branched_path,symmetric_normalized,adaptation_only,0.0005,2,150,1.0000,0.14150797,40.000,59.000,0.0000
branched_path,symmetric_normalized,adaptation_only,0.0005,3,150,1.0000,0.14348692,39.000,39.000,0.0000
branched_path,symmetric_normalized,adaptation_only,0.0005,4,150,1.0000,0.14835974,40.000,29.000,0.0000
branched_path,symmetric_normalized,adaptation_only,0.0005,5,150,1.0000,0.15185321,40.000,23.000,0.0000
branched_path,symmetric_normalized,adaptation_only,0.0005,7,150,1.0000,0.16269219,40.000,14.000,0.0000
branched_path,symmetric_normalized,adaptation_only,0.0005,10,150,1.0000,0.16630183,37.667,10.000,0.0000
branched_path,symmetric_normalized,adaptation_only,0.0005,15,150,1.0000,0.17224143,35.733,7.000,0.0000
branched_path,symmetric_normalized,adaptation_only,0.0005,20,150,1.0000,0.21335623,40.000,5.000,0.0000
branched_path,symmetric_normalized,adaptation_only,0.0005,30,150,1.0000,0.22506303,31.000,3.000,0.0000
branched_path,symmetric_normalized,adaptation_only,0.0005,40,150,1.0000,0.29705174,40.000,2.000,0.0000
branched_path,symmetric_normalized,adaptation_only,0.0005,60,150,0.7667,0.20907029,28.000,1.000,0.0000
branched_path,symmetric_normalized,adaptation_only,0.001,1,150,1.0000,0.13808004,40.000,119.000,0.0000
branched_path,symmetric_normalized,adaptation_only,0.001,2,150,1.0000,0.14150172,40.000,59.000,0.0000
branched_path,symmetric_normalized,adaptation_only,0.001,3,150,1.0000,0.14329872,39.000,39.000,0.0000
branched_path,symmetric_normalized,adaptation_only,0.001,4,150,1.0000,0.14832952,40.000,29.000,0.0000
branched_path,symmetric_normalized,adaptation_only,0.001,5,150,1.0000,0.15174572,40.000,23.000,0.0000
branched_path,symmetric_normalized,adaptation_only,0.001,7,150,1.0000,0.16227025,40.000,14.000,0.0000
branched_path,symmetric_normalized,adaptation_only,0.001,10,150,1.0000,0.16582302,38.333,10.000,0.0000
branched_path,symmetric_normalized,adaptation_only,0.001,15,150,1.0000,0.16997851,36.267,7.000,0.0000
branched_path,symmetric_normalized,adaptation_only,0.001,20,150,1.0000,0.21110904,40.000,5.000,0.0000
branched_path,symmetric_normalized,adaptation_only,0.001,30,150,1.0000,0.22026077,31.000,3.000,0.0000
branched_path,symmetric_normalized,adaptation_only,0.001,40,150,1.0000,0.29201853,40.000,2.000,0.0000
branched_path,symmetric_normalized,adaptation_only,0.001,60,150,0.7667,0.22848230,32.000,1.000,0.0000
branched_path,symmetric_normalized,adaptation_only,0.002,1,150,1.0000,0.13784828,40.000,119.000,0.0000
branched_path,symmetric_normalized,adaptation_only,0.002,2,150,1.0000,0.14102692,40.000,59.000,0.0000
branched_path,symmetric_normalized,adaptation_only,0.002,3,150,1.0000,0.14258366,39.000,39.000,0.0000
branched_path,symmetric_normalized,adaptation_only,0.002,4,150,1.0000,0.14738802,40.000,29.000,0.0000
branched_path,symmetric_normalized,adaptation_only,0.002,5,150,1.0000,0.15062924,40.000,23.000,0.0000
branched_path,symmetric_normalized,adaptation_only,0.002,7,150,1.0000,0.16104649,40.000,14.000,0.0000
branched_path,symmetric_normalized,adaptation_only,0.002,10,150,1.0000,0.16734128,38.533,10.000,0.0000
branched_path,symmetric_normalized,adaptation_only,0.002,15,150,1.0000,0.16931457,36.427,7.000,0.0000
branched_path,symmetric_normalized,adaptation_only,0.002,20,150,1.0000,0.21013100,40.000,5.000,0.0000
branched_path,symmetric_normalized,adaptation_only,0.002,30,150,1.0000,0.21733542,31.000,3.000,0.0000
branched_path,symmetric_normalized,adaptation_only,0.002,40,150,1.0000,0.28919186,40.000,2.000,0.0000
branched_path,symmetric_normalized,adaptation_only,0.002,60,150,0.8200,0.24428968,33.200,1.000,0.0000
branched_path,symmetric_normalized,adaptation_only,0.005,1,150,1.0000,0.13789385,40.000,119.000,0.0000
branched_path,symmetric_normalized,adaptation_only,0.005,2,150,1.0000,0.14114498,40.000,59.000,0.0000
branched_path,symmetric_normalized,adaptation_only,0.005,3,150,1.0000,0.14284071,39.000,39.000,0.0000
